id,Clustering,Serotype,Epoch
ERR906946_G1_23F_1999,9,VT,E1
ERR906947_G3_19A_2007,04B,NVT,E2
ERR906949_G5_NT_2010,1,NVT,E3
ERR906950_G5_19A_2010,10,NVT,E3
ERR906951_G5_23B_2010,9,NVT,E3
ERR906952_G5_15A_2010,15,NVT,E3
ERR906953_G5_19A_2010,26B,NVT,E3
ERR906954_G5_7C_2010,04A,NVT,E3
ERR906955_G5_19A_2010,26B,NVT,E3
ERR906956_G5_6A_2010,22,NVT,E3
ERR906957_G5_23B_2010,9,NVT,E3
ERR906958_G5_23A_2010,24,NVT,E3
ERR906959_G5_15C_2010,27,NVT,E3
ERR906960_G5_6A_2010,22,NVT,E3
ERR906961_G5_22A_2010,13,NVT,E3
ERR906962_G5_11D_2010,03A,NVT,E3
ERR906963_G5_11D_2010,03A,NVT,E3
ERR906964_G5_23B_2010,9,NVT,E3
ERR906965_G5_17F_2010,06B,NVT,E3
ERR906966_G5_13_2010,06B,NVT,E3
ERR906967_G5_6A_2010,22,NVT,E3
ERR906968_G5_38_2011,27,NVT,E3
ERR906969_G5_38_2011,27,NVT,E3
ERR906970_G5_NT_2011,1,NVT,E3
ERR906971_G5_23A_2011,9,NVT,E3
ERR906972_G5_15C_2011,23,NVT,E3
ERR906973_G5_15C_2011,23,NVT,E3
ERR906974_G5_17F_2011,06B,NVT,E3
ERR906975_G5_17F_2011,19B,NVT,E3
ERR906976_G5_13_2011,06B,NVT,E3
ERR906977_G5_35A_2011,7,NVT,E3
ERR906978_G5_23A_2011,24,NVT,E3
ERR906979_G5_10A_2011,02B,NVT,E3
ERR906980_G5_31_2011,5,NVT,E3
ERR906981_G5_NT_2011,1,NVT,E3
ERR906982_G5_NT_2011,1,NVT,E3
ERR906983_G5_NT_2011,1,NVT,E3
ERR906984_G5_35B_2011,23,NVT,E3
ERR906985_G5_23A_2011,24,NVT,E3
ERR906986_G5_15C_2011,25,NVT,E3
ERR906987_G5_35B_2012,23,NVT,E3
ERR906988_G5_22A_2012,13,NVT,E3
ERR906989_G5_35B_2010,11,NVT,E3
ERR906990_G5_23A_2010,24,NVT,E3
ERR906991_G5_17F_2010,19B,NVT,E3
ERR906992_G5_15A_2010,27,NVT,E3
ERR906993_G5_15A_2010,24,NVT,E3
ERR906994_G5_10A_2010,16B,NVT,E3
ERR906995_G5_23B_2010,9,NVT,E3
ERR906996_G5_5_2010,21,NVT,E3
ERR906997_G5_35B_2010,11,NVT,E3
ERR906998_G5_7B_2010,26A,NVT,E3
ERR906999_G5_35B_2010,11,NVT,E3
ERR907000_G5_NT_2010,1,NVT,E3
ERR907001_G5_35B_2010,11,NVT,E3
ERR907002_G5_19A_2010,27,NVT,E3
ERR907003_G5_17F_2010,19B,NVT,E3
ERR907004_G5_19A_2010,10,NVT,E3
ERR907005_G5_6A_2010,22,NVT,E3
ERR907006_G5_6A_2010,22,NVT,E3
ERR907007_G5_3_2010,02A,NVT,E3
ERR907008_G5_19A_2010,10,NVT,E3
ERR907009_G5_15C_2010,25,NVT,E3
ERR907010_G5_23A_2010,24,NVT,E3
ERR907011_G5_23B_2010,9,NVT,E3
ERR907012_G5_35B_2010,23,NVT,E3
ERR907013_G5_35F_2010,16A,NVT,E3
ERR907014_G5_19A_2010,26B,NVT,E3
ERR907015_G5_23A_2010,24,NVT,E3
ERR907016_G5_16F_2010,14,NVT,E3
ERR907017_G5_17F_2010,06B,NVT,E3
ERR907018_G5_6A_2010,21,NVT,E3
ERR907019_G5_23B_2010,9,NVT,E3
ERR907020_G5_15A_2011,15,NVT,E3
ERR907021_G5_35F_2011,16A,NVT,E3
ERR907022_G5_3_2011,02A,NVT,E3
ERR907023_G5_NT_2011,1,NVT,E3
ERR907024_G5_21_2011,25,NVT,E3
ERR907025_G5_35B_2011,23,NVT,E3
ERR907026_G5_19A_2011,26B,NVT,E3
ERR907027_G5_23A_2011,24,NVT,E3
ERR907028_G5_31_2011,5,NVT,E3
ERR907029_G5_23A_2011,24,NVT,E3
ERR907030_G5_17F_2011,19B,NVT,E3
ERR907031_G5_35A_2011,7,NVT,E3
ERR907032_G5_31_2011,5,NVT,E3
ERR907033_G5_35B_2011,11,NVT,E3
ERR907034_G5_19A_2011,10,NVT,E3
ERR907035_G5_10B_2011,16B,NVT,E3
ERR907036_G5_23B_2011,9,NVT,E3
ERR907037_G5_38_2011,27,NVT,E3
ERR907038_G5_12A_2011,27,NVT,E3
ERR907039_G5_15C_2011,25,NVT,E3
ERR907040_G5_7C_2011,04A,NVT,E3
ERR907041_G5_7C_2011,04A,NVT,E3
ERR907042_G5_11D_2012,03A,NVT,E3
ERR907043_G5_15C_2012,25,NVT,E3
ERR907044_G5_6A_2012,21,NVT,E3
ERR907045_G1_9A_1998,23,VT,E1
ERR907046_G1_9A_1998,23,VT,E1
ERR907047_G1_9A_1998,23,VT,E1
ERR907048_G1_22F_1998,20,NVT,E1
ERR907049_G1_31_1998,27,NVT,E1
ERR907050_G1_9A_1998,23,VT,E1
ERR907051_G1_9A_1998,23,VT,E1
ERR907052_G1_NT_1998,1,NVT,E1
ERR907053_G1_23F_1998,9,VT,E1
ERR907054_G1_13_1998,06B,NVT,E1
ERR907055_G1_23B_1998,9,NVT,E1
