id,SC,Serotype,Period
ERR907052_G1_NT_1998,1,36,38
ERR907091_G1_NT_1998,1,36,38
ERR907221_G1_NT_1998,1,36,38
ERR907283_G1_NT_1999,1,36,38
ERR907401_G1_NT_1999,1,36,38
ERR907411_G1_NT_2000,1,36,38
ERR907412_G1_NT_2000,1,36,38
ERR907427_G1_NT_1999,1,36,38
ERR907428_G1_NT_2000,1,36,38
ERR907261_G1_3_1999,2,36,38
ERR907067_G1_10A_1998,3,36,38
ERR907073_G1_10A_1998,3,36,38
ERR907074_G1_10A_1998,3,36,38
ERR907230_G1_10A_1998,3,36,38
ERR907241_G1_10A_1998,3,36,38
ERR907565_G1_10A_1999,3,36,38
ERR907208_G1_33F_1999,4,36,38
ERR907228_G1_11D_1998,4,36,38
ERR907229_G1_11D_1998,4,36,38
ERR907253_G1_11D_1999,4,36,38
ERR907256_G1_11D_1999,4,36,38
ERR907259_G1_11D_1999,4,36,38
ERR907273_G1_11D_1999,4,36,38
ERR907392_G1_11D_1999,4,36,38
ERR907570_G1_11D_1999,4,36,38
ERR907571_G1_11D_1999,4,36,38
ERR907274_G1_37_1999,5,36,38
ERR907576_G1_37_2000,5,36,38
ERR907105_G1_5_1999,6,36,38
ERR907391_G1_5_1999,6,36,38
ERR907077_G1_19A_1998,7,36,38
ERR907107_G1_19A_1999,7,36,38
ERR907108_G1_19A_1999,7,36,38
ERR907113_G1_19A_1999,7,36,38
ERR907278_G1_19A_1999,7,36,38
ERR907440_G1_19A_2000,7,36,38
ERR907087_G1_31_1998,9,36,38
ERR907109_G1_31_1999,9,36,38
ERR907114_G1_31_1999,9,36,38
ERR907117_G1_31_1999,9,36,38
ERR907204_G1_31_1999,9,36,38
ERR907426_G1_31_1999,9,36,38
ERR907057_G1_35F_1998,10,36,38
ERR907062_G1_35F_1998,10,36,38
ERR907116_G1_35F_1999,10,36,38
ERR907220_G1_35F_1998,10,36,38
ERR907407_G1_35F_1999,10,36,38
ERR907442_G1_35F_1998,10,36,38
ERR907054_G1_13_1998,11,36,38
ERR907094_G1_17F_1998,11,36,38
ERR907095_G1_13_1998,11,36,38
ERR907115_G1_17F_1999,11,36,38
ERR907437_G1_17F_1999,11,36,38
ERR907555_G1_17F_2000,11,36,38
ERR907263_G1_35A_1999,12,36,38
ERR907381_G1_35A_1999,12,36,38
ERR907384_G1_35A_1999,12,36,38
ERR907060_G1_35B_1998,13,36,38
ERR907078_G1_35B_1998,13,36,38
