Strain,E1,,E2,,E3,
Serotype,NVT,VT,NVT,VT,NVT,VT
1,9,,10,,17,
NT,9,,10,,17,
02A,1,,11,,7,
3,1,,11,,7,
02B,6,,3,,1,
10A,6,,3,,1,
03A,10,,18,,9,
11D,9,,17,,9,
33A,,,1,,,
33F,1,,,,,
03B,2,,5,,1,
37,2,,5,,1,
04A,2,,4,,12,
5,2,,,,2,
7C,,,4,,10,
04B,6,,3,,,
19F,6,,3,,,
04C,,9,,4,,3
19F,,9,,4,,3
5,6,,9,,6,
31,6,,9,,6,
06A,6,,3,,1,
35F,6,,3,,1,
06B,6,,4,,5,
13,2,,,,2,
17F,4,,4,,3,
7,3,,10,,2,
35A,3,,10,,2,
8,10,,13,,5,
35B,10,,13,,5,
9,10,19,27,,19,
23A,4,,5,,1,
23B,6,,22,,18,
23F,,19,,,,
10,,,5,,7,
19A,,,5,,7,
11,1,,8,,9,
35B,1,,8,,9,
12,,14,,,,
14,,14,,,,
13,3,,26,,12,
22A,3,,26,,12,
14,2,,10,,7,
16F,2,,10,,7,
15,1,,14,,4,
15A,1,,14,,4,
16A,2,,7,,2,
35F,2,,7,,2,
16B,2,,6,,5,
10A,2,,3,,2,
10B,,,3,,3,
17,,18,,,,
6A,,18,,,,
18,9,,23,,1,
6C,9,,23,,1,
19A,5,,8,,2,
15A,5,,8,,2,
19B,1,,12,,8,
17F,1,,12,,8,
20,10,,22,,12,
34,2,,20,,12,
22F,7,,2,,,
6C,1,,,,,
21,4,5,10,1,8,
15A,,,1,,,
6A,,5,,1,,
6C,4,,9,,8,
22,,14,1,,12,
6C,,,1,,12,
6E,,14,,,,
23,,15,10,1,15,
15C,,,,,8,
19A,,,1,,,
35B,,,9,,7,
9V,,15,,1,,
24,,,18,,17,
15A,,,,,1,
23A,,,16,,15,
23B,,,2,,1,
25,2,,14,,16,
21,2,,12,,6,
15C,,,2,,10,
26A,12,,15,,10,
15B,,,1,,,
15C,10,,8,,9,
7B,2,,6,,1,
26B,10,,26,,11,
19A,10,,26,,11,
27,19,20,35,2,18,1
1,2,,3,,,
4,,7,,,,
5,,,2,,,
8,1,,1,,,
20,1,,,,,
31,1,,,,,
37,,,3,,,
38,,,5,,3,
10A,1,,,,,
10F,,,2,,,
11A,,,,,1,
12A,1,,2,,1,
12B,,,3,,,
15A,,,,,2,
15C,,,1,,3,
16F,1,,7,,2,
18B,3,,,,,
19A,,,,,1,
19F,,1,,2,,1
22F,,,1,,,
23B,,,1,,,
23F,,6,,,,
33A,,1,,,,
6A,,4,,,,
6B,,1,,,,
7A,1,,1,,,
7F,,,1,,2,
9L,5,,2,,3,
NT,2,,,,,
Grand Total,160,114,390,8,261,4
